Confirmados,Recuperados
3058,10980
2105,0
3257,0
2976,0
1996,8104
2089,0
2336,861
2678,2327
4279,1255
4007,1082
5281,1505
3776,992
4346,990
5789,1402
6450,1588
7502,1803
5015,2104
4898,2898
4726,2054
6794,2824
6835,2406
11156,3149
9162,3980
11121,3947
9167,2388
6638,3272
6895,2427
8620,5213
11923,5827
13028,1055
17126,5491
13220,4702
7569,4450
14288,6337
16517,6335
19694,9889
18508,9277
20803,9470
16508,7157
15813,7324
11687,3922
16324,4760
20599,8054
26417,10957
26928,11872
33274,11416
16409,5663
11598,4525
28936,12558
28633,14979
30925,16346
30830,11977
27075,10209
18912,6803
15654,94305
32091,18480
32913,17179
30412,16049
25982,15158
21704,14313
17110,9705
20647,8568
34918,12296
32188,31041
22765,13534
54771,17051
34666,25148
15762,11339
23129,13618
39436,26227
42725,32506
39483,19055
46860,22875
38693,25316
30476,18303
24052,11793
33846,30507
46712,29324
48105,140050
42223,26923
37923,6116
26051,38314
20229,33497
45305,44470
44571,32832
42619,31603
45048,45914
39023,26727
24831,20755
20286,26408
41857,32174
39924,26673
45403,47433
34177,30989
28532,18888
